text,text_len,speaker,bitrate,latency_ms,success,size_bytes,test_case
你,1,Vivian,192k,1578.1021059992781,True,20684,short_1char
你,1,Vivian,192k,1059.757200000604,True,22604,short_1char
你,1,Vivian,192k,1188.779683001485,True,25484,short_1char
你,1,Vivian,192k,1714.4692530018801,True,37004,short_1char
你,1,Vivian,192k,1120.639097000094,True,24044,short_1char
你,1,Vivian,192k,1122.7124850011023,True,24044,short_1char
你,1,Vivian,192k,3196.85311899957,True,65804,short_1char
你,1,Vivian,192k,1435.267651999311,True,28844,short_1char
你,1,Vivian,192k,1178.5598099995696,True,24044,short_1char
你,1,Vivian,192k,1288.114228998893,True,25484,short_1char
你好,2,Vivian,192k,1820.2958149995538,True,38444,short_2char
你好,2,Vivian,192k,1606.6449089994421,True,32204,short_2char
你好,2,Vivian,192k,991.3685550018272,True,20684,short_2char
你好,2,Vivian,192k,1380.3561189997708,True,28844,short_2char
你好,2,Vivian,192k,1354.7960079995391,True,28844,short_2char
你好,2,Vivian,192k,1354.1364259981492,True,27404,short_2char
你好,2,Vivian,192k,1658.4249830011686,True,33644,short_2char
你好,2,Vivian,192k,1019.4987379982194,True,20684,short_2char
你好,2,Vivian,192k,1220.0872270004766,True,25484,short_2char
你好,2,Vivian,192k,1504.0158280025935,True,30284,short_2char
你好世界,4,Vivian,192k,1301.3177900029405,True,27404,medium_5char
你好世界,4,Vivian,192k,1226.6998180020892,True,25484,medium_5char
你好世界,4,Vivian,192k,1281.3398799989955,True,27404,medium_5char
你好世界,4,Vivian,192k,2056.2735610001255,True,43244,medium_5char
你好世界,4,Vivian,192k,1806.707881998591,True,38444,medium_5char
你好世界,4,Vivian,192k,1550.7030970002234,True,32204,medium_5char
你好世界,4,Vivian,192k,1616.0400070002652,True,33644,medium_5char
你好世界,4,Vivian,192k,1877.7244470002188,True,39884,medium_5char
你好世界,4,Vivian,192k,1879.902452998067,True,39884,medium_5char
你好世界,4,Vivian,192k,1559.2273470028886,True,32204,medium_5char
今天是星期一,6,Vivian,192k,2015.9619250007381,True,43244,medium_10char
今天是星期一,6,Vivian,192k,2007.5922589967377,True,43244,medium_10char
今天是星期一,6,Vivian,192k,2101.9193700012693,True,44684,medium_10char
今天是星期一,6,Vivian,192k,2090.7157830006327,True,44684,medium_10char
今天是星期一,6,Vivian,192k,1862.0857579990115,True,39884,medium_10char
今天是星期一,6,Vivian,192k,2167.2241220003343,True,46604,medium_10char
今天是星期一,6,Vivian,192k,2314.7788120004407,True,49484,medium_10char
今天是星期一,6,Vivian,192k,2337.1476930005883,True,49484,medium_10char
今天是星期一,6,Vivian,192k,2510.9357979999913,True,52844,medium_10char
今天是星期一,6,Vivian,192k,2295.7434019990615,True,48044,medium_10char
学好中文需要每天练习,10,Vivian,192k,3109.6576469972206,True,67244,long_20char
学好中文需要每天练习,10,Vivian,192k,3604.211911002494,True,76844,long_20char
学好中文需要每天练习,10,Vivian,192k,2637.779567998223,True,56204,long_20char
学好中文需要每天练习,10,Vivian,192k,2981.095882001682,True,63884,long_20char
学好中文需要每天练习,10,Vivian,192k,2717.180838000786,True,57644,long_20char
学好中文需要每天练习,10,Vivian,192k,3521.306598002411,True,73484,long_20char
学好中文需要每天练习,10,Vivian,192k,3476.862442003039,True,75404,long_20char
学好中文需要每天练习,10,Vivian,192k,4109.784709999076,True,86444,long_20char
学好中文需要每天练习,10,Vivian,192k,3335.2855630000704,True,70604,long_20char
学好中文需要每天练习,10,Vivian,192k,2978.4819560009055,True,62444,long_20char
学习中文需要不断练习，每天坚持才会进步,19,Vivian,192k,5177.14174700086,True,111884,long_50char
学习中文需要不断练习，每天坚持才会进步,19,Vivian,192k,4506.57449999926,True,97484,long_50char
学习中文需要不断练习，每天坚持才会进步,19,Vivian,192k,5128.421592002269,True,111884,long_50char
学习中文需要不断练习，每天坚持才会进步,19,Vivian,192k,5191.300815000432,True,113804,long_50char
学习中文需要不断练习，每天坚持才会进步,19,Vivian,192k,4616.492393000954,True,100844,long_50char
学习中文需要不断练习，每天坚持才会进步,19,Vivian,192k,4607.055153999681,True,100844,long_50char
学习中文需要不断练习，每天坚持才会进步,19,Vivian,192k,4825.345560999267,True,105644,long_50char
学习中文需要不断练习，每天坚持才会进步,19,Vivian,192k,4522.3652130007395,True,97484,long_50char
学习中文需要不断练习，每天坚持才会进步,19,Vivian,192k,4993.208202002279,True,105644,long_50char
学习中文需要不断练习，每天坚持才会进步,19,Vivian,192k,4666.174149999279,True,100844,long_50char
